audit_group,audit_rank,date,event_key,tour_level,gender,surface,tournament,round,player_1,player_2,winner_side,actual_winner,selection,selected_side,side_check,home_player_assumption,away_player_assumption,home_odds,away_odds,selected_odds,odds_source,model_probability,book_probability_devig,edge,ev,won,profit,score,status,model,tle_match_id
top_value_by_ev,1,2026-06-04,12133733,itf,women,unknown,W15 Brasilia (Brazil),,M. C. Torres Murcia,B. Guerra,player_1,Maria Camila Torres Murcia,Beatriz Guerra,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.05,11.73,11.73,Pncl,0.505585,0.08216,0.423425,4.930512,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133733
top_value_by_ev,2,2026-06-03,12133433,itf,men,unknown,M25 Bistrita (Romania),,N. Garcia Longo,A. Dubinin,player_1,Nicolas Garcia Longo,Alexey Dubinin,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.05,11.28,11.28,Pncl,0.501953,0.085158,0.416795,4.66203,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133433
top_value_by_ev,3,2026-06-03,12133305,itf,women,clay,W15 Casablanca,,B. Liotto de Carvalho,Z. El Mouttaki,player_2,Zineb El Mouttaki,Zineb El Mouttaki,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.11,6.78,6.78,Pncl,0.607845,0.140684,0.467161,3.121189,True,5.78,,Finished,itf_100_level_overall,api_tennis_12133305
top_value_by_ev,4,2026-06-03,12133373,itf,women,unknown,W15 Brasilia (Brazil),,B. Guerra,C. Xavier Laydner,player_1,Beatriz Guerra,Beatriz Guerra,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,5.71,1.15,5.71,Pncl,0.521109,0.167638,0.353471,1.975532,True,4.71,,Finished,itf_100_level_overall,api_tennis_12133373
top_value_by_ev,5,2026-06-03,12133265,itf,women,unknown,W15 Ontinyent (Spain),,C. Anson Sanchez,A. Monlleo Ramos,player_1,Celia Anson Sanchez,Adriana Monlleo Ramos,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.19,4.87,4.87,Pncl,0.567106,0.19637,0.370736,1.761806,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133265
top_value_by_ev,6,2026-06-04,12132733,itf,women,clay,W15 Focsani,,A. Safta,A. Vasilescu,player_1,Anastasia Safta,Anastasia Safta,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,4.66,1.14,4.66,fallback_median_pair,0.509384,0.196552,0.312832,1.373729,True,3.66,,Finished,itf_100_level_overall,api_tennis_12132733
top_value_by_ev,7,2026-06-03,12133304,itf,women,clay,W15 Casablanca,,L. Ipunesso,M. Ennaciri,player_1,Leilany Ipunesso,Manal Ennaciri,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.2,4.6,4.6,Pncl,0.513739,0.206897,0.306842,1.363199,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133304
top_value_by_ev,8,2026-06-03,12133153,itf,women,clay,W15 Kursumlijska Banja 3,,E. Milutinovic,N. Mladenovic,player_1,Elena Milutinovic,Elena Milutinovic,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,4.24,1.23,4.24,Pncl,0.546533,0.224863,0.32167,1.3173,True,3.24,,Finished,itf_100_level_overall,api_tennis_12133153
top_value_by_ev,9,2026-06-04,12133708,itf,women,clay,W15 Casablanca,,D. El Jardi,C. Dibenedetto,player_2,Carolina Dibenedetto,Carolina Dibenedetto,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.24,4.16,4.16,Pncl,0.554455,0.22963,0.324825,1.306533,True,3.16,,Finished,itf_100_level_overall,api_tennis_12133708
top_value_by_ev,10,2026-06-03,12132927,itf,women,clay,W75 Caserta,,N. Basiletti,G. Ce,player_2,Gabriela Ce,Gabriela Ce,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.24,4.18,4.18,Pncl,0.504062,0.228782,0.27528,1.106979,True,3.18,,Finished,itf_100_level_overall,api_tennis_12132927
top_value_by_ev,11,2026-06-05,12133924,itf,men,clay,M15 Ljubljana,,D. Dietrich,C. Mueller,player_1,Dylan Dietrich,Calvin Mueller,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.26,3.94,3.94,Pncl,0.521322,0.242308,0.279014,1.054009,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133924
top_value_by_ev,12,2026-06-09,12134700,itf,women,clay,W75 Ceska Lipa,,J. Kovackova,A. Monnot,player_1,Jana Kovackova,Amandine Monnot,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.27,3.8,3.8,Pncl,0.515848,0.250493,0.265355,0.960222,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134700
top_value_by_ev,13,2026-06-04,12133557,itf,women,clay,W75 Caserta,,M. Trevisan,D. Chiesa,player_2,Deborah Chiesa,Deborah Chiesa,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.43,2.88,2.88,Pncl,0.652061,0.331787,0.320274,0.877936,True,1.88,,Finished,itf_100_level_overall,api_tennis_12133557
top_value_by_ev,14,2026-06-07,12134327,itf,women,unknown,W15 Ontinyent (Spain),,C. Gallardo Guevara,N. Torner Sensano,player_1,Carmen Gallardo Guevara,Carmen Gallardo Guevara,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,3.51,1.31,3.51,Pncl,0.518535,0.271784,0.246751,0.820058,True,2.51,,Finished,itf_100_level_overall,api_tennis_12134327
top_value_by_ev,15,2026-06-05,12133851,itf,women,hard,W50 Montemor-o-Novo,,F. Jorge,K. Kuzmova,player_1,Francisca Jorge,Katarina Kuzmova,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.31,3.52,3.52,Pncl,0.514813,0.271222,0.243591,0.812142,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133851
top_value_by_ev,16,2026-06-06,12134016,itf,men,clay,M25 Cuiaba,,M. Pucinelli de Almeida,G. Villanueva,player_2,Gonzalo Villanueva,Gonzalo Villanueva,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.33,3.1,3.1,fallback_median_pair,0.560694,0.300226,0.260468,0.738151,True,2.1,,Finished,itf_100_level_overall,api_tennis_12134016
top_value_by_ev,17,2026-06-04,12133523,itf,men,clay,M15 Kursumlijska Banja 3,,A. Mujakic,W. Mirarchi,player_2,William Mirarchi,William Mirarchi,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.39,3.06,3.06,Pncl,0.561817,0.31236,0.249457,0.71916,True,2.06,,Finished,itf_100_level_overall,api_tennis_12133523
top_value_by_ev,18,2026-06-06,12134098,itf,women,hard,W15 Kayseri 3,,A. Subasic,D. Dilek,player_2,Deniz Dilek,Alana Subasic,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.97,1.4,2.97,Pncl,0.542762,0.320366,0.222396,0.612003,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134098
top_value_by_ev,19,2026-06-04,12133657,itf,men,unknown,M15 Monastir 21,,R. Matsuda,R. Fernandes,player_2,Rodrigo Fernandes,Ryuki Matsuda,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.345,1.52,2.345,fallback_median_pair,0.680712,0.393273,0.287439,0.59627,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133657
top_value_by_ev,20,2026-06-04,12133774,itf,men,hard,"M15 Lakewood, CA 2",,N. Zamora,K. Miyoshi,player_2,Kenta Miyoshi,Noah Zamora,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.985,1.335,2.985,fallback_median_pair,0.532998,0.309028,0.22397,0.590999,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133774
top_value_by_ev,21,2026-06-03,12132918,itf,women,hard,W50 Montemor-o-Novo,,S. Broadus,V. Morvayova,player_2,Viktoria Morvayova,Viktoria Morvayova,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.42,2.76,2.76,Pncl,0.570914,0.339713,0.231201,0.575723,True,1.76,,Finished,itf_100_level_overall,api_tennis_12132918
top_value_by_ev,22,2026-06-06,12134145,itf,women,unknown,W100 Sumter,,R. Brantmeier,C. Brace,player_1,Reese Brantmeier,Cadence Brace,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.52,2.41,2.41,Pncl,0.650404,0.386768,0.263636,0.567474,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134145
top_value_by_ev,23,2026-06-05,12134004,itf,men,clay,M15 Ljubljana,,A. Jeran,L. Talan Lopatic,player_1,Aljaz Jeran,Luka Talan Lopatic,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.45,2.78,2.78,Pncl,0.559665,0.34279,0.216875,0.555869,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134004
top_value_by_ev,24,2026-06-03,12133229,itf,men,clay,M15 Szentendre,,J. Hrazdil,P. Galus,player_2,Piotr Galus,Piotr Galus,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.55,2.5,2.5,Pncl,0.616409,0.382716,0.233693,0.541022,True,1.5,,Finished,itf_100_level_overall,api_tennis_12133229
top_value_by_ev,25,2026-06-06,12134083,itf,women,clay,W15 Kursumlijska Banja 3,,L. Encheva,N. Senic,player_1,Lidia Encheva,Lidia Encheva,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,3.06,1.39,3.06,Pncl,0.500792,0.31236,0.188432,0.532424,True,2.06,,Finished,itf_100_level_overall,api_tennis_12134083
top_value_by_ev,26,2026-06-09,12134811,itf,women,unknown,W35 Nice + H (France),,G. Ce,I. Ivanova,player_2,Iva Ivanova,Iva Ivanova,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.4,3.0,3.0,Pncl,0.502401,0.318182,0.184219,0.507203,True,2.0,,Finished,itf_100_level_overall,api_tennis_12134811
top_value_by_ev,27,2026-06-05,12134013,itf,women,unknown,W15 Brasilia (Brazil),,N. Zeballos,F. Mattioli,player_1,Noelia Zeballos,Francesca Mattioli,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.55,2.25,2.25,fallback_median_pair,0.660988,0.407895,0.253093,0.487223,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134013
top_value_by_ev,28,2026-06-04,12133667,itf,women,unknown,W15 Monastir 16,,K. Bartel,M. Toma,player_1,Karla Bartel,Maria Toma,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.47,2.73,2.73,Pncl,0.544294,0.35,0.194294,0.485923,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133667
top_value_by_ev,29,2026-06-09,12134698,itf,women,clay,W75 Ceska Lipa,,R. Zelnickova,K. Deichmann,player_2,Kathinka Von Deichmann,Radka Zelnickova,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.88,1.43,2.88,Pncl,0.510524,0.331787,0.178737,0.470309,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134698
top_value_by_ev,30,2026-06-04,12133237,itf,women,hard,W15 Kayseri 3,,A. Kakenova,S. Toregen,player_2,Satima Toregen,Satima Toregen,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.52,2.57,2.57,Pncl,0.556137,0.371638,0.184499,0.429272,True,1.57,,Finished,itf_100_level_overall,api_tennis_12133237
top_value_by_ev,31,2026-06-04,12133074,itf,men,unknown,M25 Caltanissetta (Italy),,F. Tabacco,R. Izquierdo Luque,player_2,Rafael Izquierdo Luque,Rafael Izquierdo Luque,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.45,2.81,2.81,Pncl,0.508383,0.340376,0.168007,0.428556,True,1.81,,Finished,itf_100_level_overall,api_tennis_12133074
top_value_by_ev,32,2026-06-03,12133415,itf,men,hard,"M15 Lakewood, CA 2",,N. Niedner,R. Falck,player_1,Neo Niedner,Neo Niedner,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.53,1.53,2.53,Pncl,0.563272,0.376847,0.186425,0.425078,True,1.53,,Finished,itf_100_level_overall,api_tennis_12133415
top_value_by_ev,33,2026-06-07,12134326,itf,men,unknown,M15 Rosbach (Germany),,K. Wehnelt,N. McDonald,player_2,Niels Mcdonald,Kai Wehnelt,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.48,1.55,2.48,Pncl,0.564037,0.384615,0.179422,0.398812,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134326
top_value_by_ev,34,2026-06-03,12133295,itf,men,unknown,M25 Bistrita (Romania),,L. Comino,A. F. Rubio Fierros,player_1,Lorenzo Comino,Alan Fernando Rubio Fierros,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.73,2.13,2.13,Pncl,0.652874,0.448187,0.204687,0.390622,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133295
top_value_by_ev,35,2026-06-04,12133183,itf,women,clay,W15 Osijek,,K. Kajabova,S. Pushkar,player_1,Klara Kajabova,Klara Kajabova,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.7,1.48,2.7,Pncl,0.51464,0.354067,0.160573,0.389528,True,1.7,,Finished,itf_100_level_overall,api_tennis_12133183
top_value_by_ev,36,2026-06-04,12133366,itf,men,clay,M25 Cuiaba,,N. Zanellato,N. Oliveira,player_2,Nicolas Oliveira,Nicolas Oliveira,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.51,2.6,2.6,Pncl,0.533654,0.367397,0.166257,0.3875,True,1.6,,Finished,itf_100_level_overall,api_tennis_12133366
top_value_by_ev,37,2026-06-05,12133878,itf,men,clay,M15 Kursumlijska Banja 3,,A. Pisaric,A. Yazdani,player_2,Ali Yazdani,Ali Yazdani,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.54,2.52,2.52,Pncl,0.54549,0.37931,0.16618,0.374635,True,1.52,,Finished,itf_100_level_overall,api_tennis_12133878
top_value_by_ev,38,2026-06-04,12133283,itf,men,clay,M15 Ljubljana,,L. Talan Lopatic,N. Mikovic,player_1,Luka Talan Lopatic,Luka Talan Lopatic,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.07,1.77,2.07,Pncl,0.655971,0.460938,0.195033,0.35786,True,1.07,,Finished,itf_100_level_overall,api_tennis_12133283
top_value_by_ev,39,2026-06-03,12132926,itf,women,hard,W50 Montemor-o-Novo,,A. Voloshchuk,A. Arseneault,player_1,Angelina Voloshchuk,Ariana Arseneault,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.54,2.51,2.51,Pncl,0.539182,0.380247,0.158935,0.353347,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12132926
top_value_by_ev,40,2026-06-04,12133560,itf,women,clay,W75 Caserta,,A. Mazzola,A. Zantedeschi,player_1,Alessandra Mazzola,Alessandra Mazzola,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.47,1.56,2.47,Pncl,0.547617,0.387097,0.16052,0.352614,True,1.47,,Finished,itf_100_level_overall,api_tennis_12133560
top_value_by_ev,41,2026-06-03,12133385,itf,women,unknown,W100 Sumter,,B. Payne,A. Bowers,player_1,Bella Payne,Bella Payne,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.98,1.84,1.98,Pncl,0.678275,0.481675,0.1966,0.342984,True,0.98,,Finished,itf_100_level_overall,api_tennis_12133385
top_value_by_ev,42,2026-06-03,12133417,itf,men,hard,"M15 Lakewood, CA 2",,E. van Loben Sels,I. Vasa,player_2,Iiro Vasa,Iiro Vasa,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.56,2.46,2.46,Pncl,0.545389,0.38806,0.157329,0.341657,True,1.46,,Finished,itf_100_level_overall,api_tennis_12133417
top_value_by_ev,43,2026-06-04,12133664,itf,women,unknown,W100 Sumter,,M. Brengle,E. Cayetano,player_2,Eryn Cayetano,Eryn Cayetano,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.52,2.58,2.58,Pncl,0.513805,0.370732,0.143073,0.325617,True,1.58,,Finished,itf_100_level_overall,api_tennis_12133664
top_value_by_ev,44,2026-06-03,12133118,itf,women,unknown,W15 Monastir 16,,L. Ayala,A. Urso,player_2,Aurora Urso,Aurora Urso,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.6,2.37,2.37,Pncl,0.557959,0.403023,0.154936,0.322363,True,1.37,,Finished,itf_100_level_overall,api_tennis_12133118
top_value_by_ev,45,2026-06-06,12134123,itf,women,unknown,W15 Ontinyent (Spain),,M. Nuudi,C. Gallardo Guevara,player_2,Carmen Gallardo Guevara,Carmen Gallardo Guevara,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.88,1.94,1.94,Pncl,0.678621,0.492147,0.186474,0.316525,True,0.94,,Finished,itf_100_level_overall,api_tennis_12134123
top_value_by_ev,46,2026-06-09,12134651,itf,men,clay,M15 Kursumlijska Banja 4,,A. Arzhankin,S. Stankovic,player_1,Anton Arzhankin,Anton Arzhankin,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.12,1.74,2.12,Pncl,0.61539,0.450777,0.164613,0.304627,True,1.12,,Finished,itf_100_level_overall,api_tennis_12134651
top_value_by_ev,47,2026-06-05,12133849,itf,women,hard,W50 Montemor-o-Novo,,I. Spink,A. Kulikova,player_2,Anastasia Kulikova,Indianna Spink,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.59,1.51,2.59,Pncl,0.503259,0.368293,0.134966,0.303441,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133849
top_value_by_ev,48,2026-06-06,12134154,itf,men,hard,"M15 Lakewood, CA 2",,O. Bonding,D. Popko,player_1,Oliver Bonding,Dmitry Popko,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.06,1.78,1.78,Pncl,0.731728,0.536458,0.19527,0.302476,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134154
top_value_by_ev,49,2026-06-03,12133055,itf,men,hard,M15 Harmon,,M. Kleiman,R. Minakata,player_1,Matt Kleiman,Matt Kleiman,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.43,1.57,2.43,Pncl,0.52138,0.3925,0.12888,0.266953,True,1.43,,Finished,itf_100_level_overall,api_tennis_12133055
top_value_by_ev,50,2026-06-06,12134079,itf,men,unknown,M15 Monastir 21,,B. Willwerth,J. Bradshaw,player_2,Jacob Bradshaw,Jacob Bradshaw,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.97,1.85,1.85,Pncl,0.682334,0.515707,0.166627,0.262318,True,0.85,,Finished,itf_100_level_overall,api_tennis_12134079
top_value_by_ev,51,2026-06-07,12134442,itf,women,hard,"W15 Lakewood, CA 2",,K. Penickova,M. Crossley,player_2,Mayu Crossley,Mayu Crossley,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.93,1.89,1.89,Pncl,0.663696,0.505236,0.15846,0.254385,True,0.89,,Finished,itf_100_level_overall,api_tennis_12134442
top_value_by_ev,52,2026-06-07,12134208,itf,women,clay,W15 Banja Luka,,A. Korpanec Davies,L. Petruzelova,player_2,Lucie Petruzelova,Lucie Petruzelova,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.57,2.43,2.43,Pncl,0.515986,0.3925,0.123486,0.253846,True,1.43,,Finished,itf_100_level_overall,api_tennis_12134208
top_value_by_ev,53,2026-06-05,12133945,itf,women,unknown,W15 Ontinyent (Spain),,M. Nuudi,R. Gonzalez Vilar,player_1,Maileen Nuudi,Raquel Gonzalez Vilar,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.68,2.22,2.22,Pncl,0.559575,0.430769,0.128806,0.242256,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133945
top_value_by_ev,54,2026-06-09,12134609,itf,men,hard,M15 Tokyo,,N. Honda,H. Heck,player_1,Naoya Honda,Hunter Heck,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.83,1.99,1.99,Pncl,0.619949,0.479058,0.140891,0.233699,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12134609
top_value_by_ev,55,2026-06-03,12133387,itf,women,unknown,W100 Sumter,,E. Khayrutdinova,C. Brace,player_2,Cadence Brace,Cadence Brace,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.68,2.21,2.21,Pncl,0.555515,0.431877,0.123638,0.227688,True,1.21,,Finished,itf_100_level_overall,api_tennis_12133387
top_value_by_ev,56,2026-06-06,12134048,itf,women,clay,W75 Caserta,,N. Schunk,A. Mazzola,player_2,Alessandra Mazzola,Alessandra Mazzola,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.62,2.31,2.31,Pncl,0.530755,0.412214,0.118541,0.226044,True,1.31,,Finished,itf_100_level_overall,api_tennis_12134048
top_value_by_ev,57,2026-06-05,12133886,itf,men,clay,M15 Tsaghkadzor 2,,K. Knitter,A. Majchrzak,player_1,Kacper Knitter,Kacper Knitter,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.33,1.62,2.33,Pncl,0.523686,0.410127,0.113559,0.220188,True,1.33,,Finished,itf_100_level_overall,api_tennis_12133886
top_value_by_ev,58,2026-06-07,12134458,itf,men,hard,"M15 Lakewood, CA 2",,O. Bonding,O. Ojakaar,player_1,Oliver Bonding,Oliver Bonding,Home,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,2.25,1.66,2.25,Pncl,0.5313,0.424552,0.106748,0.195425,True,1.25,,Finished,itf_100_level_overall,api_tennis_12134458
top_value_by_ev,59,2026-06-05,12133866,itf,women,unknown,W15 Monastir 16,,M. Oliver Sanchez,V. Mincheva,player_1,Maria Oliver Sanchez,Vlada Mincheva,Away,CHECK: actual_winner != winner_side player,Home = player_1,Away = player_2,1.66,2.25,2.25,Pncl,0.527398,0.424552,0.102846,0.186646,False,-1.0,,Finished,itf_100_level_overall,api_tennis_12133866
